




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-elastic.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-elastic.csv (79)	go-genelist-py-elastic.csv (expected)	go-genelist-py-elastic.csv (over/under)	go-genelist-py-elastic.csv (fold Enrichment)	go-genelist-py-elastic.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
regulation of glutamine transport (GO:2000485)	3	1	.01	+	86.87	1.52E-02	1	.02	+	48.33	2.71E-02
regulation of macrophage migration inhibitory factor signaling pathway (GO:2000446)	3	1	.01	+	86.87	1.52E-02	1	.02	+	48.33	2.71E-02
response to prolactin (GO:1990637)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
regulation of glutamate metabolic process (GO:2000211)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
protein targeting to vacuole involved in autophagy (GO:0071211)	6	2	.02	+	86.87	3.98E-04	0	.04	-	 < 0.01	1.00E00
regulation of progesterone biosynthetic process (GO:2000182)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
peptidyl-cysteine oxidation (GO:0018171)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
N-acetylglucosamine catabolic process (GO:0006046)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
glucosamine metabolic process (GO:0006041)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
proline import across plasma membrane (GO:1905647)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
cellular detoxification of cadmium ion (GO:0098849)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
serine import across plasma membrane (GO:0098718)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
glycine betaine transport (GO:0031460)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
L-proline transmembrane transport (GO:1904555)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
protein targeting to lysosome involved in chaperone-mediated autophagy (GO:0061740)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
late endosomal microautophagy (GO:0061738)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
positive regulation of TRAIL-activated apoptotic signaling pathway (GO:1903984)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
positive regulation of phosphatidylcholine metabolic process (GO:0150173)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
L-serine import across plasma membrane (GO:1903812)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
L-proline import across plasma membrane (GO:1904271)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
intracellular manganese ion homeostasis (GO:0030026)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
formaldehyde catabolic process (GO:0046294)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
response to sorbitol (GO:0072708)	7	2	.03	+	74.46	5.10E-04	0	.05	-	 < 0.01	1.00E00
regulation of TRAIL-activated apoptotic signaling pathway (GO:1903121)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
cobalt ion transport (GO:0006824)	8	2	.03	+	65.16	6.36E-04	1	.06	+	18.12	6.00E-02
vitellogenesis (GO:0007296)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
detoxification of cadmium ion (GO:0071585)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
response to Gram-positive bacterium (GO:0140459)	4	1	.02	+	65.16	1.90E-02	1	.03	+	36.25	3.38E-02
cellular response to cobalt ion (GO:0071279)	4	1	.02	+	65.16	1.90E-02	1	.03	+	36.25	3.38E-02
adrenomedullin receptor signaling pathway (GO:1990410)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
cell wall disruption in another organism (GO:0044278)	4	1	.02	+	65.16	1.90E-02	1	.03	+	36.25	3.38E-02
stress response to cadmium ion (GO:1990170)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
cartilage homeostasis (GO:1990079)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
positive regulation of MDA-5 signaling pathway (GO:1900245)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
manganese ion homeostasis (GO:0055071)	4	1	.02	+	65.16	1.90E-02	1	.03	+	36.25	3.38E-02
cellular response to arsenite ion (GO:1903843)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
response to arsenite ion (GO:1903842)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
L-glutamine import across plasma membrane (GO:1903803)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
negative regulation of mature B cell apoptotic process (GO:0002906)	4	1	.02	+	65.16	1.90E-02	1	.03	+	36.25	3.38E-02
regulation of mature B cell apoptotic process (GO:0002905)	4	1	.02	+	65.16	1.90E-02	1	.03	+	36.25	3.38E-02
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510)	4	1	.02	+	65.16	1.90E-02	1	.03	+	36.25	3.38E-02
response to anisomycin (GO:0072739)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
formaldehyde metabolic process (GO:0046292)	4	1	.02	+	65.16	1.90E-02	0	.03	-	 < 0.01	1.00E00
glutamine transport (GO:0006868)	9	2	.03	+	57.92	7.76E-04	1	.06	+	16.11	6.64E-02
protein retention in ER lumen (GO:0006621)	9	2	.03	+	57.92	7.76E-04	1	.06	+	16.11	6.64E-02
regulation of glutamate secretion, neurotransmission (GO:1903294)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
regulation of phosphatidylcholine biosynthetic process (GO:2001245)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
regulation of ferroptosis (GO:0110075)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
asparagine metabolic process (GO:0006528)	5	1	.02	+	52.12	2.27E-02	1	.03	+	29.00	4.04E-02
intracellular glutamate homeostasis (GO:0090461)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
dipeptide import across plasma membrane (GO:0140206)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
oligopeptide import across plasma membrane (GO:0140205)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
regulation of acyl-CoA biosynthetic process (GO:0050812)	5	1	.02	+	52.12	2.27E-02	1	.03	+	29.00	4.04E-02
positive regulation of low-density lipoprotein receptor activity (GO:1905599)	5	1	.02	+	52.12	2.27E-02	1	.03	+	29.00	4.04E-02
response to gravity (GO:0009629)	10	2	.04	+	52.12	9.29E-04	0	.07	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
putrescine biosynthetic process (GO:0009446)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
isopentenyl diphosphate biosynthetic process (GO:0009240)	5	1	.02	+	52.12	2.27E-02	1	.03	+	29.00	4.04E-02
regulation of protein import (GO:1904589)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
dipeptide transmembrane transport (GO:0035442)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
membrane to membrane docking (GO:0022614)	5	1	.02	+	52.12	2.27E-02	1	.03	+	29.00	4.04E-02
isopentenyl diphosphate metabolic process (GO:0046490)	5	1	.02	+	52.12	2.27E-02	1	.03	+	29.00	4.04E-02
response to actinomycin D (GO:0072716)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
cellular response to sorbitol (GO:0072709)	5	1	.02	+	52.12	2.27E-02	0	.03	-	 < 0.01	1.00E00
negative regulation of cell adhesion molecule production (GO:0060354)	6	1	.02	+	43.44	2.65E-02	0	.04	-	 < 0.01	1.00E00
zinc ion import across plasma membrane (GO:0071578)	6	1	.02	+	43.44	2.65E-02	1	.04	+	24.17	4.70E-02
cadmium ion transmembrane transport (GO:0070574)	6	1	.02	+	43.44	2.65E-02	1	.04	+	24.17	4.70E-02
fat cell proliferation (GO:0070341)	6	1	.02	+	43.44	2.65E-02	0	.04	-	 < 0.01	1.00E00
aggrephagy (GO:0035973)	6	1	.02	+	43.44	2.65E-02	0	.04	-	 < 0.01	1.00E00
pexophagy (GO:0000425)	6	1	.02	+	43.44	2.65E-02	0	.04	-	 < 0.01	1.00E00
response to symbiotic bacterium (GO:0009609)	6	1	.02	+	43.44	2.65E-02	1	.04	+	24.17	4.70E-02
response to symbiont (GO:0009608)	6	1	.02	+	43.44	2.65E-02	1	.04	+	24.17	4.70E-02
gamma-aminobutyric acid biosynthetic process (GO:0009449)	6	1	.02	+	43.44	2.65E-02	2	.04	+	48.33	1.27E-03
L-cystine transport (GO:0015811)	6	1	.02	+	43.44	2.65E-02	0	.04	-	 < 0.01	1.00E00
cadmium ion transport (GO:0015691)	6	1	.02	+	43.44	2.65E-02	1	.04	+	24.17	4.70E-02
negative regulation of epithelial cell proliferation involved in prostate gland development (GO:0060770)	6	1	.02	+	43.44	2.65E-02	1	.04	+	24.17	4.70E-02
response to cisplatin (GO:0072718)	6	1	.02	+	43.44	2.65E-02	1	.04	+	24.17	4.70E-02
regulation of sulfur metabolic process (GO:0042762)	13	2	.05	+	40.10	1.47E-03	1	.09	+	11.15	9.18E-02
maintenance of protein localization in endoplasmic reticulum (GO:0035437)	13	2	.05	+	40.10	1.47E-03	1	.09	+	11.15	9.18E-02
polyamine metabolic process (GO:0006595)	20	3	.08	+	39.09	9.01E-05	2	.14	+	14.50	9.84E-03
positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	7	1	.03	+	37.23	3.02E-02	1	.05	+	20.71	5.35E-02
chronic inflammatory response (GO:0002544)	14	2	.05	+	37.23	1.67E-03	3	.10	+	31.07	1.99E-04
clathrin coat disassembly (GO:0072318)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
oligopeptide transport (GO:0006857)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
N-acetylneuraminate catabolic process (GO:0019262)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
relaxation of vascular associated smooth muscle (GO:0060087)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
regulation of entry of bacterium into host cell (GO:2000535)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
polyamine biosynthetic process (GO:0006596)	14	2	.05	+	37.23	1.67E-03	1	.10	+	10.36	9.80E-02
iron import into cell (GO:0033212)	7	1	.03	+	37.23	3.02E-02	1	.05	+	20.71	5.35E-02
histone H4-K12 acetylation (GO:0043983)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
regulation of glutamate receptor clustering (GO:0106104)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
negative regulation of amyloid precursor protein biosynthetic process (GO:0042985)	7	1	.03	+	37.23	3.02E-02	1	.05	+	20.71	5.35E-02
positive regulation of prostaglandin biosynthetic process (GO:0031394)	7	1	.03	+	37.23	3.02E-02	1	.05	+	20.71	5.35E-02
regulation of AMPA glutamate receptor clustering (GO:1904717)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
oligopeptide transmembrane transport (GO:0035672)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
cellular response to phorbol 13-acetate 12-myristate (GO:1904628)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
response to phorbol 13-acetate 12-myristate (GO:1904627)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
ribosomal small subunit export from nucleus (GO:0000056)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
amylin receptor signaling pathway (GO:0097647)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
regulation of protein complex stability (GO:0061635)	14	2	.05	+	37.23	1.67E-03	0	.10	-	 < 0.01	1.00E00
glutathione transmembrane transport (GO:0034775)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
regulation of MDA-5 signaling pathway (GO:0039533)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
pancreatic juice secretion (GO:0030157)	7	1	.03	+	37.23	3.02E-02	1	.05	+	20.71	5.35E-02
skeletal muscle cell proliferation (GO:0014856)	7	1	.03	+	37.23	3.02E-02	0	.05	-	 < 0.01	1.00E00
vesicle uncoating (GO:0072319)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
blood vessel maturation (GO:0001955)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
inner cell mass cell differentiation (GO:0001826)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
positive regulation of T-helper 17 cell differentiation (GO:2000321)	8	1	.03	+	32.58	3.39E-02	1	.06	+	18.12	6.00E-02
regulation of neutrophil apoptotic process (GO:0033029)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
relaxation of smooth muscle (GO:0044557)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
regulation of glutamine family amino acid metabolic process (GO:0000820)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	32	4	.12	+	32.58	1.06E-05	3	.22	+	13.59	1.75E-03
gamma-aminobutyric acid metabolic process (GO:0009448)	8	1	.03	+	32.58	3.39E-02	2	.06	+	36.25	2.02E-03
peptide modification (GO:0031179)	8	1	.03	+	32.58	3.39E-02	1	.06	+	18.12	6.00E-02
L-serine transport (GO:0015825)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
chaperone-mediated autophagy (GO:0061684)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
negative regulation of phospholipase activity (GO:0010519)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
pericardium morphogenesis (GO:0003344)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
negative regulation of vasoconstriction (GO:0045906)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
intracellular amino acid homeostasis (GO:0080144)	8	1	.03	+	32.58	3.39E-02	0	.06	-	 < 0.01	1.00E00
response to corticosterone (GO:0051412)	17	2	.07	+	30.66	2.36E-03	0	.12	-	 < 0.01	1.00E00
disruption of cellular component of another organism (GO:0140975)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
positive regulation of cardiac muscle contraction (GO:0060452)	9	1	.03	+	28.96	3.76E-02	0	.06	-	 < 0.01	1.00E00
positive regulation of antigen processing and presentation (GO:0002579)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
negative regulation of keratinocyte differentiation (GO:0045617)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
regulation of cell adhesion molecule production (GO:0060353)	9	1	.03	+	28.96	3.76E-02	0	.06	-	 < 0.01	1.00E00
positive regulation of unsaturated fatty acid biosynthetic process (GO:2001280)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
cellular detoxification of aldehyde (GO:0110095)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
ubiquitin-dependent protein catabolic process via the C-end degron rule pathway (GO:0140627)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)	18	2	.07	+	28.96	2.62E-03	1	.12	+	8.06	1.22E-01
positive regulation of hematopoietic stem cell proliferation (GO:1902035)	9	1	.03	+	28.96	3.76E-02	0	.06	-	 < 0.01	1.00E00
alanine transport (GO:0032328)	18	2	.07	+	28.96	2.62E-03	1	.12	+	8.06	1.22E-01
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
protein localization to perinuclear region of cytoplasm (GO:1905719)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
negative regulation of inflammatory response to wounding (GO:0106015)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
response to zinc ion starvation (GO:0120127)	9	1	.03	+	28.96	3.76E-02	0	.06	-	 < 0.01	1.00E00
glucosamine-containing compound catabolic process (GO:1901072)	9	1	.03	+	28.96	3.76E-02	0	.06	-	 < 0.01	1.00E00
cobalamin transport (GO:0015889)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
calcitonin family receptor signaling pathway (GO:0097646)	9	1	.03	+	28.96	3.76E-02	0	.06	-	 < 0.01	1.00E00
regulation of amino acid import across plasma membrane (GO:0010958)	18	2	.07	+	28.96	2.62E-03	1	.12	+	8.06	1.22E-01
regulation of amino acid transmembrane transport (GO:1903789)	18	2	.07	+	28.96	2.62E-03	1	.12	+	8.06	1.22E-01
