




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-5.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-5.csv (113)	go-genelist-py-5.csv (expected)	go-genelist-py-5.csv (over/under)	go-genelist-py-5.csv (fold Enrichment)	go-genelist-py-5.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
insecticide metabolic process (GO:0017143)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
negative regulation of protein localization to nucleolus (GO:1904750)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
rhythmic excitation (GO:0043179)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
fatty acid primary amide metabolic process (GO:0062126)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
fatty acid primary amide biosynthetic process (GO:0062112)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
iron ion export across plasma membrane (GO:1903988)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
protein kinase C deactivation (GO:0042313)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
positive regulation of autophagic cell death (GO:1904094)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
male courtship behavior (GO:0008049)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
putrescine catabolic process (GO:0009447)	3	2	.02	+	 > 100	2.92E-04	2	.02	+	96.66	4.60E-04
positive regulation of detection of glucose (GO:2000972)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
regulation of detection of glucose (GO:2000970)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
rhombomere 3 morphogenesis (GO:0021658)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
dATP catabolic process (GO:0046061)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
antigen processing and presentation of endogenous peptide antigen via MHC class II (GO:0002491)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
rhombomere morphogenesis (GO:0021593)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
positive regulation of respiratory burst involved in inflammatory response (GO:0060265)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
keratinocyte activation (GO:0032980)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
positive regulation of glutamine transport (GO:2000487)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
cellular response to human chorionic gonadotropin stimulus (GO:0044751)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
epidermal growth factor receptor ligand maturation (GO:0038004)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
positive regulation of Schwann cell differentiation (GO:0014040)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
peptide amidation (GO:0001519)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
negative regulation of CD40 signaling pathway (GO:2000349)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
negative regulation of hematopoietic stem cell proliferation (GO:1902034)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
dGTP catabolic process (GO:0006203)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
slow endocytic recycling (GO:0032458)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
negative regulation of osteoclast proliferation (GO:0090291)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
asymmetric Golgi ribbon formation (GO:0090164)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
negative regulation of vitamin D receptor signaling pathway (GO:0070563)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
B cell receptor apoptotic signaling pathway (GO:1990117)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
olefin metabolic process (GO:1900673)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
box H/ACA snoRNP assembly (GO:0000493)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
cellular alkene metabolic process (GO:0043449)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
amino acid import (GO:0043090)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
pyridoxine biosynthetic process (GO:0008615)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
pyridoxine metabolic process (GO:0008614)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
cell-cell junction disassembly (GO:0150147)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
adaptation of rhodopsin mediated signaling (GO:0016062)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
regulation of transcription from RNA polymerase II promoter in response to iron (GO:0034395)	2	1	.01	+	91.10	1.63E-02	0	.01	-	 < 0.01	1.00E00
tolerance induction to lipopolysaccharide (GO:0072573)	2	1	.01	+	91.10	1.63E-02	1	.01	+	72.50	2.04E-02
endoplasmic reticulum tubular network formation (GO:0071787)	5	2	.03	+	72.88	6.09E-04	0	.03	-	 < 0.01	1.00E00
plasma cell differentiation (GO:0002317)	5	2	.03	+	72.88	6.09E-04	2	.03	+	58.00	9.57E-04
polyamine catabolic process (GO:0006598)	5	2	.03	+	72.88	6.09E-04	2	.03	+	58.00	9.57E-04
negative regulation of toll-like receptor 3 signaling pathway (GO:0034140)	3	1	.02	+	60.73	2.17E-02	1	.02	+	48.33	2.71E-02
dibenzo-p-dioxin metabolic process (GO:0018894)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
cell adhesion molecule production (GO:0060352)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
dGTP metabolic process (GO:0046070)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
dATP metabolic process (GO:0046060)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
myeloid dendritic cell antigen processing and presentation (GO:0002469)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
positive regulation of phosphatidylcholine biosynthetic process (GO:2001247)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
rhombomere 5 development (GO:0021571)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
rhombomere 3 development (GO:0021569)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
maternal process involved in parturition (GO:0060137)	6	2	.03	+	60.73	8.09E-04	0	.04	-	 < 0.01	1.00E00
spermidine acetylation (GO:0032918)	3	1	.02	+	60.73	2.17E-02	1	.02	+	48.33	2.71E-02
polyamine acetylation (GO:0032917)	3	1	.02	+	60.73	2.17E-02	1	.02	+	48.33	2.71E-02
striated muscle myosin thick filament assembly (GO:0071688)	3	1	.02	+	60.73	2.17E-02	1	.02	+	48.33	2.71E-02
rhythmic synaptic transmission (GO:0060024)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
regulation of glutamine transport (GO:2000485)	3	1	.02	+	60.73	2.17E-02	1	.02	+	48.33	2.71E-02
regulation of Schwann cell differentiation (GO:0014038)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
negative regulation of nitric-oxide synthase biosynthetic process (GO:0051771)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
negative regulation of rRNA processing (GO:2000233)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
sarcomerogenesis (GO:0048769)	3	1	.02	+	60.73	2.17E-02	1	.02	+	48.33	2.71E-02
negative regulation of thrombin-activated receptor signaling pathway (GO:0070495)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
regulation of thrombin-activated receptor signaling pathway (GO:0070494)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
negative regulation of activation-induced cell death of T cells (GO:0070236)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
positive regulation of chemokine-mediated signaling pathway (GO:0070101)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
vitamin B6 biosynthetic process (GO:0042819)	3	1	.02	+	60.73	2.17E-02	1	.02	+	48.33	2.71E-02
endothelin receptor signaling pathway involved in heart process (GO:0086101)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
positive regulation of phosphatidylcholine metabolic process (GO:0150173)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
brain segmentation (GO:0035284)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
response to prostaglandin F (GO:0034696)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
skeletal muscle myosin thick filament assembly (GO:0030241)	3	1	.02	+	60.73	2.17E-02	1	.02	+	48.33	2.71E-02
cellular response to rapamycin (GO:0072752)	3	1	.02	+	60.73	2.17E-02	0	.02	-	 < 0.01	1.00E00
courtship behavior (GO:0007619)	3	1	.02	+	60.73	2.17E-02	1	.02	+	48.33	2.71E-02
negative regulation of cell adhesion involved in substrate-bound cell migration (GO:0006933)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
protein deubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0071947)	8	2	.04	+	45.55	1.29E-03	2	.06	+	36.25	2.02E-03
amino disaccharide catabolic process (GO:0052782)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
negative regulation of apoptotic process in bone marrow cell (GO:0071866)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
regulation of apoptotic process in bone marrow cell (GO:0071865)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
dendritic cell antigen processing and presentation (GO:0002468)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
response to iron(III) ion (GO:0010041)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
positive regulation of sarcomere organization (GO:0060298)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
B-1 B cell homeostasis (GO:0001922)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:0002291)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
lymphocyte anergy (GO:0002249)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
endoplasmic reticulum tubular network membrane organization (GO:1990809)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
response to Gram-positive bacterium (GO:0140459)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
positive regulation of L-glutamate import across plasma membrane (GO:0002038)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
cell wall disruption in another organism (GO:0044278)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
polysaccharide digestion (GO:0044245)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070433)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070428)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
negative regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070425)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
protein K33-linked deubiquitination (GO:1990168)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
regulation of activation-induced cell death of T cells (GO:0070235)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
light adaption (GO:0036367)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
9-cis-retinoic acid metabolic process (GO:0042905)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
9-cis-retinoic acid biosynthetic process (GO:0042904)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
negative regulation of vesicle fusion (GO:0031339)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
purine deoxyribonucleoside triphosphate catabolic process (GO:0009217)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
myosin filament assembly (GO:0031034)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
central nervous system segmentation (GO:0035283)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
sympathetic neuron axon guidance (GO:0097492)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
dermatan sulfate catabolic process (GO:0030209)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
chondroitin sulfate catabolic process (GO:0030207)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
regulation of autophagic cell death (GO:1904092)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
nitric oxide transport (GO:0030185)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
meiotic cell cycle process involved in oocyte maturation (GO:1903537)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
T cell anergy (GO:0002870)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
vein smooth muscle contraction (GO:0014826)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
cell migration involved in endocardial cushion formation (GO:0003273)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
L-kynurenine catabolic process (GO:0097053)	4	1	.02	+	45.55	2.70E-02	1	.03	+	36.25	3.38E-02
positive regulation of prostaglandin-endoperoxide synthase activity (GO:0060585)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
regulation of prostaglandin-endoperoxide synthase activity (GO:0060584)	4	1	.02	+	45.55	2.70E-02	0	.03	-	 < 0.01	1.00E00
putrescine metabolic process (GO:0009445)	9	2	.05	+	40.49	1.57E-03	2	.06	+	32.22	2.46E-03
negative regulation of amyloid-beta clearance (GO:1900222)	9	2	.05	+	40.49	1.57E-03	0	.06	-	 < 0.01	1.00E00
negative regulation of chronic inflammatory response (GO:0002677)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
positive regulation of T cell anergy (GO:0002669)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
mitochondrial large ribosomal subunit assembly (GO:1902775)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
odontoblast differentiation (GO:0071895)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
regulation of phosphatidylcholine biosynthetic process (GO:2001245)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
negative regulation of respiratory burst involved in inflammatory response (GO:0060266)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
male mating behavior (GO:0060179)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
regulation of platelet-derived growth factor receptor-alpha signaling pathway (GO:2000583)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
response to human chorionic gonadotropin (GO:0044752)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
protein retention in Golgi apparatus (GO:0045053)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
Golgi reassembly (GO:0090168)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
negative regulation of ribosome biogenesis (GO:0090071)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
response to herbicide (GO:0009635)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
renal sodium ion absorption (GO:0070294)	10	2	.05	+	36.44	1.88E-03	1	.07	+	14.50	7.28E-02
vitamin B6 metabolic process (GO:0042816)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
protein K29-linked deubiquitination (GO:0035523)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
deoxyribonucleoside triphosphate catabolic process (GO:0009204)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
positive regulation of TORC2 signaling (GO:1904515)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
myosin filament organization (GO:0031033)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
purine nucleoside triphosphate catabolic process (GO:0009146)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
negative regulation of vitamin D biosynthetic process (GO:0010957)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
ectodermal cell differentiation (GO:0010668)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
membrane to membrane docking (GO:0022614)	5	1	.03	+	36.44	3.23E-02	1	.03	+	29.00	4.04E-02
positive regulation of lymphocyte anergy (GO:0002913)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
NAD biosynthesis via nicotinamide riboside salvage pathway (GO:0034356)	10	2	.05	+	36.44	1.88E-03	1	.07	+	14.50	7.28E-02
positive regulation of cell growth involved in cardiac muscle cell development (GO:0061051)	5	1	.03	+	36.44	3.23E-02	0	.03	-	 < 0.01	1.00E00
peptide antigen assembly with MHC class II protein complex (GO:0002503)	17	3	.09	+	32.15	1.69E-04	0	.12	-	 < 0.01	1.00E00
MHC class II protein complex assembly (GO:0002399)	17	3	.09	+	32.15	1.69E-04	0	.12	-	 < 0.01	1.00E00
response to ozone (GO:0010193)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
T cell tolerance induction (GO:0002517)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
positive regulation of type II interferon-mediated signaling pathway (GO:0060335)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
positive regulation of response to type II interferon (GO:0060332)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
negative regulation of respiratory burst (GO:0060268)	6	1	.03	+	30.37	3.76E-02	1	.04	+	24.17	4.70E-02
L-serine biosynthetic process (GO:0006564)	6	1	.03	+	30.37	3.76E-02	1	.04	+	24.17	4.70E-02
neural crest cell fate commitment (GO:0014034)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
regulation of CD40 signaling pathway (GO:2000348)	6	1	.03	+	30.37	3.76E-02	1	.04	+	24.17	4.70E-02
cellular response to luteinizing hormone stimulus (GO:0071373)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
regulation of osteoclast proliferation (GO:0090289)	6	1	.03	+	30.37	3.76E-02	1	.04	+	24.17	4.70E-02
response to rapamycin (GO:1901355)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
negative regulation of monocyte chemotaxis (GO:0090027)	6	1	.03	+	30.37	3.76E-02	1	.04	+	24.17	4.70E-02
response to symbiotic bacterium (GO:0009609)	6	1	.03	+	30.37	3.76E-02	1	.04	+	24.17	4.70E-02
response to symbiont (GO:0009608)	6	1	.03	+	30.37	3.76E-02	1	.04	+	24.17	4.70E-02
gamma-aminobutyric acid biosynthetic process (GO:0009449)	6	1	.03	+	30.37	3.76E-02	2	.04	+	48.33	1.27E-03
negative regulation of guanyl-nucleotide exchange factor activity (GO:1905098)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
purine deoxyribonucleoside triphosphate metabolic process (GO:0009215)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
regulation of TORC2 signaling (GO:1903939)	6	1	.03	+	30.37	3.76E-02	1	.04	+	24.17	4.70E-02
positive regulation of odontogenesis (GO:0042482)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
rhodopsin mediated signaling pathway (GO:0016056)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
response to cisplatin (GO:0072718)	6	1	.03	+	30.37	3.76E-02	1	.04	+	24.17	4.70E-02
regulation of endoplasmic reticulum tubular network organization (GO:1903371)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
regulation of systemic arterial blood pressure by endothelin (GO:0003100)	6	1	.03	+	30.37	3.76E-02	0	.04	-	 < 0.01	1.00E00
renal sodium ion transport (GO:0003096)	13	2	.07	+	28.03	2.96E-03	1	.09	+	11.15	9.18E-02
cellular response to mineralocorticoid stimulus (GO:0071389)	13	2	.07	+	28.03	2.96E-03	1	.09	+	11.15	9.18E-02
nucleoside triphosphate catabolic process (GO:0009143)	13	2	.07	+	28.03	2.96E-03	1	.09	+	11.15	9.18E-02
amine catabolic process (GO:0009310)	20	3	.11	+	27.33	2.59E-04	3	.14	+	21.75	5.04E-04
cellular biogenic amine catabolic process (GO:0042402)	20	3	.11	+	27.33	2.59E-04	3	.14	+	21.75	5.04E-04
negative regulation of vitamin metabolic process (GO:0046137)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
negative regulation of toll-like receptor 2 signaling pathway (GO:0034136)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
activation-induced cell death of T cells (GO:0006924)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
peptide antigen assembly with MHC protein complex (GO:0002501)	21	3	.12	+	26.03	2.95E-04	0	.14	-	 < 0.01	1.00E00
rhombomere development (GO:0021546)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
regulation of sarcomere organization (GO:0060297)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
regulation of respiratory burst involved in inflammatory response (GO:0060264)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
MHC protein complex assembly (GO:0002396)	21	3	.12	+	26.03	2.95E-04	0	.14	-	 < 0.01	1.00E00
DNA strand resection involved in replication fork processing (GO:0110025)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
histamine secretion (GO:0001821)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
ganglioside catabolic process (GO:0006689)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032829)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
regulation of mitochondrial mRNA stability (GO:0044528)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
